"","term1_col","term2_col","n_years","aic","bic","cfi","rmsea","b_hake_cpue","p_hake_cpue","b_cpue_sar","p_cpue_sar","b_term1_sar","p_term1_sar","b_term2_sar","p_term2_sar","model_type","delta_aic_vs_base","contains_new_shark"
"198","x15_dfa_sleeper_shark_bsai_pred_ak","x14_pink_salmon",24,121.4913093513,128.559632333387,0.831593175503566,0.241198525847649,-0.613080028554731,0.000143674086900969,0.591955338079675,0.000198269576379362,-0.352167339811439,0.125565615535464,0.00765060128999435,0.973874280477296,"1 Predator + 1 Prey",-0.776521164828381,FALSE
"199","x15_shark_catch_go_a_pred_ak","x15_dfa_sleeper_shark_bsai_pred_ak",24,121.492237175269,128.560560157357,0.804452508070493,0.264250880611439,-0.613080028554731,0.000143674086900969,0.590242139034951,0.000248384218600295,-0.00214847196282917,0.990713058140606,-0.358619860015521,0.0443888772824106,"2 Predators",-0.775593340858933,FALSE
"200","x15_salmon_shark_go_a_pred_ak","x13_mid_il_capelin",24,121.51244114536,128.580764127448,0.984181262161959,0.0679167146858028,-0.613080028554731,0.000143674086900969,0.381104611134686,0.0216704002613683,-0.0994045639819656,0.528314549461368,0.360534212316502,0.0329526225982617,"1 Predator + 1 Prey",-0.755389370767887,FALSE
"201","x10_northern_f_s_2yr_lead_ws","x12_copepod_com_e_go_a",24,121.563005204069,128.631328186157,0.911028209904266,0.167207794970253,-0.613080028554731,0.000143674086900969,0.521130190247801,0.00106131943129362,0.323991821714941,0.0466901932009787,0.243575874966062,0.128483594088439,"1 Predator + 1 Prey",-0.704825312058773,FALSE
"202","x10_northern_f_s_2yr_lead_ws","x15_sablefish_biomass_pred_ak",24,121.568100050847,128.636423032934,0.769083805637919,0.293145309879733,-0.613080028554731,0.000143674086900969,0.548894297709505,0.000822047885990607,0.311043154186342,0.0531038453847079,0.246344567685918,0.132804054728062,"2 Predators",-0.699730465281192,FALSE
"203","x15_halibut_biomass_age8plus_2yr_lead_pred_ak","x13_egoa_herring",24,121.585549069314,128.653872051402,0.678758574989331,0.367888954278991,-0.613080028554731,0.000143674086900969,0.603067982070753,0.000155537322887644,0.0722643238682668,0.691427969547264,0.387935396419779,0.0327621870972576,"1 Predator + 1 Prey",-0.682281446814102,FALSE
"204","x10_dfa_ssl_est_wholerange_2yr_lead","x13_stka_herr_matbiom",24,121.597107598807,128.665430580895,0.686455886852004,0.361309777917205,-0.613080028554731,0.000143674086900969,0.622729426149343,9.53655279398724e-05,0.0588847430787543,0.728170118790363,0.33323273607976,0.0467659454156082,"1 Predator + 1 Prey",-0.670722917320916,FALSE
"205","x10_californian_s_l_2yr_lead_ws","x13_mid_il_capelin",24,121.600538331251,128.668861313339,0.940752349458899,0.134152389163993,-0.613080028554731,0.000143674086900969,0.400626948978024,0.0175685790975677,0.0964027226244315,0.571182112318858,0.333865556705841,0.0675859524006346,"1 Predator + 1 Prey",-0.667292184876743,FALSE
"206","x10_californian_s_l_2yr_lead_ws","x14_pink_salmon_north_america",24,121.630678323748,128.699001305836,0.88419257088461,0.193320071395957,-0.613080028554731,0.000143674086900969,0.574242229273162,0.000213356363082173,0.198852089277034,0.20296665416624,-0.265903872933506,0.0889153017722031,"1 Predator + 1 Prey",-0.637152192379574,FALSE
"207","x15_halibut_biomass_age8plus_2yr_lead_pred_ak","x13_stka_herr_matbiom",24,121.641381086428,128.709704068516,0.722981910362532,0.330566898999313,-0.613080028554731,0.000143674086900969,0.603403174132118,0.000149729037870472,0.0491708987229964,0.782132814410226,0.374848271362989,0.0334786748996263,"1 Predator + 1 Prey",-0.62644942969979,FALSE
